name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
SunTec Web Servi...,3.3,(224 Reviews),Private,New Delhi + 3 more,23 years old,1k-5k Employees (India)
GMR Hyderabad In...,4,(224 Reviews),Private,"Delhi/NCR,Delhi + 10 more",22 years old,201-500 Employees (India)
BCD Travel,4,(224 Reviews),Private,"Utrecht,Utrecht + 11 more",16 years old,501-1k Employees (India)
Maharashtra Seam...,3.6,(224 Reviews),"Gurgaon/Gurugram,Haryana + 12 more",34 years old,1k-5k Employees (India),
Ceinsys Tech,3.8,(224 Reviews),Public,"Nagpur,Maharashtra + 29 more",24 years old,501-1k Employees (India)
Seoyon E-hwa Aut...,3.9,(224 Reviews),Seoul + 12 more,50 years old,51-200 Employees (India),
National Petrole...,4.3,(224 Reviews),Abu Dhabi + 17 more,49 years old,501-1k Employees (India),
Rosmerta Technol...,3,(224 Reviews),Private,Gurgaon + 46 more,16 years old,1k-5k Employees (India)
Tetra Pak,4.2,(224 Reviews),Private,Pully + 11 more,35 years old,1k-5k Employees (India)
Merck,4,(466 Reviews),Private,"Darmstadt,Darmstadt + 33 more",131 years old,1k-5k Employees (India)
Prem Henna,3.7,(223 Reviews),Private,Indore + 50 more,92 years old,201-500 Employees (India)
NR Switch N Radi...,3.9,(223 Reviews),Private,"Kota,Rajasthan + 42 more",24 years old,501-1k Employees (India)
Alpla,4.1,(223 Reviews),Private,"Hard,Vorarlberg + 8 more",67 years old,501-1k Employees (India)
Super Smelters,4.1,(223 Reviews),"Kolkata,West Bengal + 11 more",27 years old,1k-5k Employees (India),
Sotc Travel Serv...,3.9,(223 Reviews),Private,Mumbai + 32 more,73 years old,1k-5k Employees (India)
FOCUS EDUMATICS,3.7,(223 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",23 years old,501-1k Employees (India)
ACL Digital,3.7,(223 Reviews),Private,"Santa Clara,California + 11 more",30 years old,501-1k Employees (India)
India Post,4,(265 Reviews),Public,"Mysore/Mysuru,Karnataka + 90 more",168 years old,1 Lakh+ Employees (India)
FMC,4.1,(222 Reviews),Private,Philadelphia + 53 more,13 years old,501-1k Employees (India)
PTC,4.1,(222 Reviews),Public,"Boston,Massachusetts + 21 more",37 years old,51-200 Employees (India)
Venkateshwara Ha...,3.8,(222 Reviews),Private,"Pune,Maharashtra + 28 more",51 years old,1k-5k Employees (Global)
Xdbs,3.4,(222 Reviews),Private,"Redwood City,San Francisco + 2 more",10 years old,1k-5k Employees (India)
Corteva Agriscie...,4.3,(222 Reviews),Public,"Wilmington,Delaware + 44 more",3 years old,1k-5k Employees (India)
ByteDance,4.5,(222 Reviews),Private,"Shanghai,Shanghai + 12 more",10 years old,1k-5k Employees (India)
Pratibha Industr...,4.2,(222 Reviews),Public,"Mumbai,Maharashtra + 20 more",40 years old,501-1k Employees (India)
Trigent Software,3.7,(222 Reviews),Private,"Southborough,Massachusetts + 18 more",27 years old,501-1k Employees (India)
Ventura Securiti...,3.9,(221 Reviews),Public,Thane + 36 more,28 years old,1k-5k Employees (India)
Cadbury,4.5,(221 Reviews),Private,London + 53 more,198 years old,1k-5k Employees (India)
Galaxy Surfactan...,3,(221 Reviews),Public,Mumbai + 8 more,42 years old,1k-5k Employees (India)
Markets and Mark...,3.3,(221 Reviews),Private,"Pune,Maharashtra + 2 more",12 years old,501-1k Employees (India)
Dainik Jagran,4,(221 Reviews),Public,"Noida,Uttar Pradesh + 50 more",80 years old,201-500 Employees (India)
Sterling,4,(221 Reviews),Private,Mumbai + 29 more,55 years old,5k-10k Employees (India)
VDA Infosolution...,3.8,(221 Reviews),Private,"Mumbai,Maharashtra + 20 more",12 years old,201-500 Employees (India)
Wipro GE Health ...,4.1,(221 Reviews),Chicago + 29 more,130 years old,201-500 Employees (India),
Flowserve,4.2,(221 Reviews),Private,"Irving,Texas + 10 more",25 years old,1k-5k Employees (India)
GGS Information ...,3.5,(221 Reviews),Private,"York,Pennsylvania + 7 more",34 years old,501-1k Employees (India)
AIG,4.1,(1.6k Reviews),New York + 9 more,13 years old,10k-50k Employees (India),
Fluper,3.8,(220 Reviews),Public,"Noida,Uttar Pradesh + 2 more",9 years old,201-500 Employees (India)
PC Solutions,3.7,(220 Reviews),Private,"Delhi/NCR,Delhi + 12 more",34 years old,501-1k Employees (India)
Tractebel,4.1,(220 Reviews),Private,"Chakkarpur,Haryana + 36 more",29 years old,501-1k Employees (India)
Blackrock,4,(220 Reviews),Private,"New York City,New York + 8 more",18 years old,1k-5k Employees (India)
Ramco Industries,4.3,(220 Reviews),Public,"Chennai,Tamil Nadu + 38 more",30 years old,1k-5k Employees (India)
Torry Harris Bus...,3.9,(220 Reviews),Private,Perth Amboy + 3 more,24 years old,501-1k Employees (India)
FCm Travel Solut...,3.8,(220 Reviews),Private,Brisbane + 22 more,36 years old,1k-5k Employees (India)
SBI Mutual Fund,4.1,(220 Reviews),Private,"Mumbai,Maharashtra + 92 more",35 years old,1k-5k Employees (India)
Sheenlac Paints,3.6,(220 Reviews),Public,"Chennai,Tamil Nadu + 31 more",60 years old,501-1k Employees (India)
RR kabel,4.2,(220 Reviews),"Mumbai,Maharashtra + 40 more",27 years old,501-1k Employees (India),
Dusters Total So...,3.9,(220 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",28 years old,501-1k Employees (India)
Deenanath Manges...,4.3,(220 Reviews),Private,"Pune,Maharashtra + 7 more",21 years old,11-50 Employees (India)
OnProcess Techno...,3.8,(220 Reviews),Private,"Ashland,Massachusetts",24 years old,201-500 Employees (India)
Methodex,3.5,(220 Reviews),Private,"Delhi/NCR,Delhi + 41 more",62 years old,1k-5k Employees (India)
Shriram Group,4.2,(7.4k Reviews),Private,"Chennai,Tamil Nadu + 97 more",48 years old,50k-1 Lakh Employees (India)
Yum!,4.2,(1.7k Reviews),Private,"Colonel Sanders Lane,Louisville + 24 more",25 years old,501-1k Employees (India)
M3M India,3.6,(219 Reviews),Private,"Gurgaon,Haryana + 3 more",37 years old,201-500 Employees (India)
Sheela Foam,4.3,(219 Reviews),Public,"Delhi/NCR,Delhi + 52 more",51 years old,1k-5k Employees (India)
Insolutions Glob...,3.8,(219 Reviews),Private,Mumbai + 14 more,34 years old,1k-5k Employees (India)
Hanon Systems,4,(219 Reviews),Private,Daejeon + 9 more,36 years old,501-1k Employees (India)
M3M India,3.6,(219 Reviews),Private,"Gurgaon,Haryana + 3 more",37 years old,201-500 Employees (India)
Yusen Logistics,4.1,(219 Reviews),Private,Tokyo + 24 more,67 years old,501-1k Employees (India)
Aker Solutions,3.9,(219 Reviews),Private,"Fornebu,Akershus + 4 more",181 years old,1k-5k Employees (India)
Keysight Technol...,4.1,(219 Reviews),Private,"Santa Rosa,California + 7 more",8 years old,1k-5k Employees (India)
R.S. Infraprojec...,4.1,(219 Reviews),"Noida,Uttar Pradesh + 26 more",17 years old,501-1k Employees (India),
Kolte Patil Deve...,4.1,(219 Reviews),Public,"Pune,Maharashtra + 5 more",31 years old,1k-5k Employees (India)
Sheela Foam,4.3,(219 Reviews),Public,"Delhi/NCR,Delhi + 52 more",51 years old,1k-5k Employees (India)
Tata Marcopolo M...,3.7,(219 Reviews),Public,"Pune,Maharashtra + 10 more",77 years old,1k-5k Employees (Global)
Suroj Buildcon,4.1,(219 Reviews),Private,"Pune,Maharashtra + 21 more",9 years old,501-1k Employees (India)
Cyfuture,3.8,(219 Reviews),Noida + 21 more,21 years old,501-1k Employees (India),
Country Inns & S...,4,(218 Reviews),Private,"Minnetonka,Minnesota + 23 more",37 years old,11-50 Employees (India)
Ciel HR,4.1,(218 Reviews),Private,"Bangalore,Karnataka + 42 more",9 years old,51-200 Employees (India)
Groupon,3.7,(218 Reviews),Private,"Chicago,Illinois + 7 more",7 years old,1k-5k Employees (India)
India Nippon Ele...,4.1,(218 Reviews),Public,"Hosur,Tamil Nadu + 15 more",38 years old,501-1k Employees (India)
Mrs Bector's Foo...,4.2,(218 Reviews),Public,Gurgaon + 35 more,44 years old,1k-5k Employees (India)
ReGen Powertech,3.8,(218 Reviews),Private,"Chennai,Tamil Nadu + 17 more",16 years old,501-1k Employees (India)
Unitech,4.2,(218 Reviews),Public,"Gurgaon/Gurugram,Haryana + 19 more",51 years old,1k-5k Employees (India)
Prem Motors,3.8,(218 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",32 years old,201-500 Employees (India)
Transrail Lighti...,3.8,(218 Reviews),Private,"Mumbai,Maharashtra + 33 more",14 years old,501-1k Employees (India)
MetroTelworks,3.9,(217 Reviews),Private,Ahmedabad + 28 more,18 years old,51-200 Employees (India)
Techno Electric ...,4,(217 Reviews),Public,"Kolkata,West Bengal + 37 more",59 years old,201-500 Employees (India)
Liberty General ...,4.1,(217 Reviews),Private,"Mumbai,Maharashtra + 54 more",12 years old,1k-5k Employees (India)
HomeLane,3.8,(217 Reviews),Private,"Bangalore,Karnataka + 17 more",8 years old,501-1k Employees (India)
Allcargo Logisti...,4,(217 Reviews),Public,"Mumbai,Maharashtra + 30 more",29 years old,1k-5k Employees (India)
Hindustan Times,3.6,(217 Reviews),Private,"Delhi/NCR,Delhi + 37 more",98 years old,5k-10k Employees (Global)
Eisai Pharmaceut...,4.4,(217 Reviews),Public,"Tokyo,Tokyo-to + 11 more",18 years old,201-500 Employees (India)
Gammon Engineers...,4,(217 Reviews),Mumbai + 31 more,100 years old,201-500 Employees (India),
Texmaco Rail and...,3.9,(217 Reviews),Private,"Kolkata,West Bengal + 23 more",24 years old,1k-5k Employees (India)
Pranav Vikas Ind...,3.7,(217 Reviews),"Delhi/NCR,Delhi + 6 more",35 years old,201-500 Employees (India),
NKG Infrastructu...,3.7,(217 Reviews),Private,"Delhi/NCR,Delhi + 28 more",33 years old,1k-5k Employees (India)
HP India Sales,4.3,(217 Reviews),Private,Bengaluru + 33 more,25 years old,1k-5k Employees (India)
TVS Eurogrip,3.6,(217 Reviews),Public,Madurai + 31 more,40 years old,1k-5k Employees (India)
Win Medicare,4.1,(216 Reviews),Private,"Delhi/NCR,Delhi + 39 more",17 years old,501-1k Employees (India)
TO THE NEW,4.3,(216 Reviews),Private,"Noida,Uttar Pradesh + 5 more",14 years old,1k-5k Employees (India)
Axiscades,3.2,(216 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",32 years old,1k-5k Employees (India)
Kyungshin Indust...,3.4,(216 Reviews),Chennai + 5 more,25 years old,201-500 Employees (India),
Linkquest Teleco...,3.3,(216 Reviews),Private,"Noida,Uttar Pradesh + 34 more",26 years old,501-1k Employees (India)
Five-star Busine...,4.4,(216 Reviews),Public,"Chennai,Tamil Nadu + 93 more",38 years old,1k-5k Employees (India)
Katerra,3.7,(216 Reviews),Private,"Menlo Park,California + 9 more",7 years old,501-1k Employees (India)
Navin Fluorine I...,4,(216 Reviews),Public,"Mumbai,Maharashtra + 7 more",55 years old,501-1k Employees (India)
Easyday Club,4.4,(216 Reviews),"Mumbai,Maharashtra + 63 more",14 years old,1-10 Employees (India),
Cotiviti,4.1,(216 Reviews),Private,South Jordan,43 years old,5k-10k Employees (Global)
MSD Pharmaceutic...,3.8,(216 Reviews),Private,"Gurgaon/Gurugram,Haryana + 38 more",57 years old,1k-5k Employees (India)
SUEZ Environneme...,4.1,(399 Reviews),Private,"Paris,Ile De France + 27 more",25 years old,1k-5k Employees (India)
Kalyani Technofo...,4,(215 Reviews),Private,"Pune,Maharashtra + 8 more",43 years old,201-500 Employees (India)
Angelique Intern...,4.4,(215 Reviews),Private,"Delhi/NCR,New Delhi + 12 more",26 years old,501-1k Employees (India)
Hero Cycles,3.7,(215 Reviews),Public,"Gurgaon/Gurugram,Haryana + 30 more",66 years old,1k-5k Employees (India)
Dana India,4.1,(215 Reviews),Private,"Pune,Maharashtra + 11 more",21 years old,501-1k Employees (India)
TI Cycles of Ind...,4.3,(215 Reviews),Public,"Chennai,Tamil Nadu + 23 more",73 years old,1k-5k Employees (India)
Citylife Retail,3.8,(215 Reviews),Private,"Kolkata,West Bengal + 47 more",16 years old,51-200 Employees (India)
Nature's Basket,3.9,(215 Reviews),Private,"Mumbai,Maharashtra + 8 more",17 years old,501-1k Employees (India)
Cvent,3.6,(215 Reviews),Private,"Fairfax,Virginia + 1 more",23 years old,1k-5k Employees (India)
Acuity Knowledge...,3.7,(215 Reviews),London + 6 more,20 years old,1k-5k Employees (India),
Ingersoll Rand,4.3,(243 Reviews),Public,"Dublin,Dublin + 19 more",50 years old,1k-5k Employees (India)
ELGI Equipments,4,(232 Reviews),Public,"Coimbatore,Tamil Nadu + 20 more",62 years old,1k-5k Employees (India)
NTT,4.1,(214 Reviews),"Melbourne,Victoria + 28 more",34 years old,1k-5k Employees (India),
Ralson India,3.8,(214 Reviews),Public,"Delhi/NCR,Delhi + 30 more",48 years old,501-1k Employees (India)
DEN Networks,3.9,(214 Reviews),Public,"Delhi,NCT + 25 more",15 years old,1k-5k Employees (India)
Celebi NAS Airpo...,4.2,(214 Reviews),Private,"Mumbai,Maharashtra + 7 more",14 years old,201-500 Employees (India)
CARE,4.4,(214 Reviews),Private,Noida + 63 more,72 years old,51-200 Employees (India)
New Holland Fiat...,4.3,(214 Reviews),Private,"Delhi/NCR,Delhi + 31 more",24 years old,501-1k Employees (India)
Jetking Infotrai...,3.5,(214 Reviews),Public,"Mumbai,Maharashtra + 46 more",75 years old,51-200 Employees (India)
India Glycols,4,(214 Reviews),Public,"Noida,Uttar Pradesh + 12 more",39 years old,1k-5k Employees (India)
Chambal Fertilis...,3.9,(214 Reviews),Public,"Kota,Rajasthan + 34 more",37 years old,1k-5k Employees (India)
Apex Laboratorie...,4.1,(214 Reviews),Private,Chennai + 36 more,44 years old,501-1k Employees (India)
Schwing Stetter,4.1,(214 Reviews),Private,Herne + 33 more,77 years old,1k-5k Employees (India)
Agro Tech Foods,4.4,(214 Reviews),Public,"Gurgaon/Gurugram,Haryana + 37 more",36 years old,501-1k Employees (India)
Stanza Living,3.4,(214 Reviews),Private,"Delhi,NCT + 15 more",5 years old,501-1k Employees (India)
FabHotels,3.4,(213 Reviews),Private,"Gurgaon,Haryana + 25 more",8 years old,501-1k Employees (India)
Kuehne + Nagel,4.2,(213 Reviews),Private,"Schindellegi,Feusisberg + 24 more",132 years old,1k-5k Employees (India)
Bharat Bijlee,4,(213 Reviews),Public,"Mumbai,Maharashtra + 16 more",76 years old,501-1k Employees (India)
Me n Moms,3.1,(213 Reviews),Private,"Mumbai,Maharashtra + 34 more",28 years old,201-500 Employees (India)
Omkar Realtors a...,4.2,(213 Reviews),Private,Mumbai + 8 more,19 years old,201-500 Employees (India)
Toyoda Gosei Min...,4.1,(213 Reviews),Private,Aichi + 14 more,14 years old,51-200 Employees (India)
Sapphire Foods I...,3.8,(213 Reviews),Private,"Mumbai,Maharashtra + 30 more",7 years old,5k-10k Employees (India)
Cooper Corporati...,3.6,(213 Reviews),Private,"Pune,Maharashtra + 4 more",100 years old,1k-5k Employees (India)
North East Small...,4.1,(213 Reviews),Private,"Guwahati,Assam + 39 more",6 years old,1k-5k Employees (India)
Virtual Employee,3.7,(213 Reviews),Private,"Noida,Uttar Pradesh + 9 more",15 years old,1k-5k Employees (India)
Honeywell Intern...,4.2,(213 Reviews),Charlotte + 17 more,116 years old,10k-50k Employees (India),
Scania,4.3,(212 Reviews),Private,"Södertälje,Södertälje + 20 more",131 years old,201-500 Employees (India)
Syndicate Bank,4,(212 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 53 more",97 years old,10k-50k Employees (India)
Bharat Oman Refi...,3.7,(212 Reviews),Public,"Bina,Madhya Pradesh + 17 more",11 years old,501-1k Employees (India)
Amrit Cement,3.9,(212 Reviews),Private,"Kolkata,West Bengal + 14 more",14 years old,501-1k Employees (India)
South Indian Ban...,3.8,(212 Reviews),Public,"Thrissur/Trichur,Kerala + 46 more",93 years old,1k-5k Employees (India)
Precision Automa...,3.8,(212 Reviews),Private,"Satara,Maharashtra + 6 more",32 years old,1k-5k Employees (India)
El Seif Engineer...,4.3,(212 Reviews),Private,Riyadh + 14 more,47 years old,51-200 Employees (India)
M*Modal,2.9,(212 Reviews),Private,"Franklin,Tennesse + 8 more",21 years old,1k-5k Employees (India)
Sahyadri Hospita...,4.2,(212 Reviews),Private,"Pune,Maharashtra + 3 more",28 years old,1k-5k Employees (India)
Welspun Corp,4,(212 Reviews),Mumbai + 15 more,37 years old,5k-10k Employees (India),
Netafim Irrigati...,4.2,(249 Reviews),Private,"Vadodara/Baroda,Gujarat + 45 more",57 years old,1k-5k Employees (India)
Boeing,4,(212 Reviews),Public,Chicago + 4 more,106 years old,1k-5k Employees (India)
Rolta India,3.1,(211 Reviews),Public,"Mumbai,Maharashtra + 9 more",33 years old,501-1k Employees (India)
Bharat Seats,3.7,(211 Reviews),Public,"Gurgaon/Gurugram,Haryana + 7 more",36 years old,201-500 Employees (India)
Citco,3.1,(211 Reviews),Private,Cayman Islands + 4 more,6 years old,1k-5k Employees (India)
Roca Bathroom Pr...,4,(211 Reviews),Private,Municipality Of GavÃ + 38 more,16 years old,1k-5k Employees (India)
Yazaki Wiring Te...,4,(211 Reviews),Private,Tokyo + 19 more,81 years old,1 Lakh+ Employees (Global)
Gulf Oil Lubrica...,4.3,(211 Reviews),Public,"Mumbai,Maharashtra + 45 more",29 years old,501-1k Employees (India)
Enco Engineers C...,3.8,(211 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",39 years old,51-200 Employees (India)
360 Realtors,3.6,(211 Reviews),LLP,"Gurgaon/Gurugram,Haryana + 21 more",8 years old,501-1k Employees (India)
Kores,4,(211 Reviews),Private,"Mumbai,Maharashtra + 26 more",86 years old,501-1k Employees (India)
Serum Institute ...,4.1,(210 Reviews),Private,Pune + 13 more,56 years old,1k-5k Employees (India)
Coffee Day,3.6,(210 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",29 years old,1k-5k Employees (India)
Uniparts Group,3.9,(210 Reviews),Private,"Noida,Uttar Pradesh + 15 more",38 years old,501-1k Employees (India)
Infiniti Researc...,3.9,(210 Reviews),Private,London + 1 more,19 years old,501-1k Employees (India)
BPTP,4.1,(210 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",19 years old,201-500 Employees (India)
Hofincons Infote...,3.9,(210 Reviews),Chennai + 33 more,501-1k Employees (India),,
IndianMoney.com,2.9,(210 Reviews),Private,"Bangalore,Karnataka + 11 more",14 years old,201-500 Employees (India)
Satyam Venture E...,3.2,(210 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",22 years old,501-1k Employees (India)
Embibe,3.9,(220 Reviews),Private,"Bangalore,Karnataka + 6 more",10 years old,501-1k Employees (India)
Anthem Bioscienc...,4,(209 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",16 years old,1k-5k Employees (India)
Symbiotec Pharma...,3.9,(209 Reviews),Private,"Indore,Madhya Pradesh + 5 more",28 years old,51-200 Employees (India)
Brigade Group,4.2,(209 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",36 years old,501-1k Employees (India)
Lotte India Corp...,3.9,(209 Reviews),Public,"Chennai,Tamil Nadu + 46 more",18 years old,201-500 Employees (India)
Rieter,3.8,(209 Reviews),Private,"Khandala,Punjab + 8 more",27 years old,501-1k Employees (India)
Kutchina,3.7,(208 Reviews),Private,"Kolkata,West Bengal + 43 more",19 years old,201-500 Employees (India)
BKT Tyres,4.1,(208 Reviews),Private,Mumbai + 15 more,34 years old,1k-5k Employees (India)
Reliance Fresh,4.4,(208 Reviews),Private,Mumbai + 50 more,16 years old,1k-5k Employees (India)
Senco Gold,4.1,(208 Reviews),Private,"Kolkata,West Bengal + 43 more",28 years old,1k-5k Employees (India)
